incident_id,source_records,unique_publishers,unique_domains,modalities,independent_groups,raw_minus_independent
inc_36606dd3867022d0,2,2,2,1,2,0
inc_de96ad5fa64d168f,1,1,1,1,1,0
inc_cb30987af2785f52,1,1,1,1,1,0
inc_001e111e0160af47,1,1,1,1,1,0
inc_e922c60d8bde6b4c,1,1,1,1,1,0
inc_2566ad61661be61d,1,1,1,1,1,0
inc_1725871d9f46d5f7,1,1,1,1,1,0
inc_7a1aba27b4aad602,2,2,2,1,2,0
inc_4303dc258abb3e6e,3,3,3,1,3,0
inc_980616e334663106,1,1,1,1,1,0
inc_92c6908329081e96,1,1,1,1,1,0
inc_5f0001a82e9cf963,1,1,1,1,1,0
inc_685854c4d0085427,1,1,1,1,1,0
inc_fbedcd34fad953a9,1,1,1,1,1,0
inc_efa94daa66cbbeef,1,1,1,1,1,0
inc_69201fb35e947a53,1,1,1,1,1,0
inc_175bfc5fbc6d88a6,1,1,1,1,1,0
inc_2f3b6788664dce01,1,1,1,1,1,0
inc_72ce681e52fda388,1,1,1,1,1,0
inc_7ea07d2df28489f4,1,1,1,1,1,0
inc_fc0fff6b9539ac46,1,1,1,1,1,0
inc_bf0129bb303721c7,1,1,1,1,1,0
inc_aa0d57e5f1736976,1,1,1,1,1,0
inc_e0423270c830657e,1,1,1,1,1,0
inc_4b2f09710b6fa69c,1,1,1,1,1,0
inc_9903c040312334d9,1,1,1,1,1,0
inc_1da2a4076b766070,4,3,3,1,3,1
inc_1088c1ef67e28339,1,1,1,1,1,0
inc_114d7b49043a2a37,1,1,1,1,1,0
inc_eda2e31afc23c630,1,1,1,1,1,0
inc_e641ddcb2b16b10b,1,1,1,1,1,0
inc_d03835305c64995a,1,1,1,1,1,0
inc_c63534687190bbf5,1,1,1,1,1,0
inc_8e2df6af2d1a96a5,4,4,4,1,4,0
inc_119dca9fa759927c,1,1,1,1,1,0
inc_5060056755afa0c1,1,1,1,1,1,0
inc_efa222ef536789ab,1,1,1,1,1,0
inc_90a01185a0cbe2a7,1,1,1,1,1,0
inc_337b49beb5162752,1,1,1,1,1,0
inc_2354607d28f0c3fe,1,1,1,1,1,0
inc_72ce8000e8fb5c79,1,1,1,1,1,0
inc_67c4d8d41bed94d2,1,1,1,1,1,0
inc_b070cf1344f71d4f,1,1,1,1,1,0
inc_a6a21fd274671cf7,1,1,1,1,1,0
inc_ce4917a9c11eaa79,1,1,1,1,1,0
inc_be3235a3439446ad,1,1,1,1,1,0
inc_aef209a01d4e8df4,1,1,1,1,1,0
inc_1acf180feb4d142e,1,1,1,1,1,0
inc_f8e2b635d7c89065,1,1,1,1,1,0
inc_199fb74324512add,1,1,1,1,1,0
inc_ef1b5b4c069a5151,2,2,2,1,2,0
inc_777f6ec70eaf4edf,2,1,2,1,1,1
inc_6a6ba433ed189808,1,1,1,1,1,0
inc_be87bc4f89f62f30,1,1,1,1,1,0
inc_229fa8bb8a8f5baf,1,1,1,1,1,0
inc_738caadd9ec2c70d,1,1,1,1,1,0
inc_983a2ff99658e60a,1,1,1,1,1,0
inc_4b9e94fcbbe3ac86,1,1,1,1,1,0
inc_ebd686580517c84a,3,3,3,1,3,0
inc_57987e96201aa6e6,1,1,1,1,1,0
inc_bfbe569f4343eafb,1,1,1,1,1,0
inc_1786d49af70e2454,1,1,1,1,1,0
inc_43f2010274597dc8,1,1,1,1,1,0
inc_5894c0372a584e16,1,1,1,1,1,0
inc_d2e4bb4ba36ee458,1,1,1,1,1,0
inc_b2448c3e392516df,1,1,1,1,1,0
inc_962fce969b17f529,1,1,1,1,1,0
inc_f51da73247fd38d8,1,1,1,1,1,0
inc_a9ab4d5138a1cbab,3,3,3,1,3,0
inc_eedee403cffa237e,1,1,1,1,1,0
inc_956a1bf826838de5,1,1,1,1,1,0
inc_66cb83b9172783bb,1,1,1,1,1,0
inc_fff6eba3330e08cb,1,1,1,1,1,0
inc_3239fb5accf8e153,1,1,1,1,1,0
inc_ca154ba4d75818c4,1,1,1,1,1,0
inc_ffa9589057a7dcc7,1,1,1,1,1,0
inc_759135daef76d10d,1,1,1,1,1,0
inc_d18187534aa5b31f,1,1,1,1,1,0
inc_c68a6867e9d11e8f,1,1,1,1,1,0
inc_d52be364a8fcacae,1,1,1,1,1,0
inc_e70a3e44e0e04ba4,1,1,1,1,1,0
inc_964dae6b996e364e,1,1,1,1,1,0
inc_39ccf37485f4ce59,1,1,1,1,1,0
inc_172ff7d8516513c2,1,1,1,1,1,0
inc_a94c32e550e9c803,2,2,2,1,2,0
inc_a5cee691df320ecd,1,1,1,1,1,0
inc_afbc007467fb0b84,1,1,1,1,1,0
inc_3cca6ba61a72586a,1,1,1,1,1,0
inc_e767da158e9cded5,1,1,1,1,1,0
inc_05755bedcec3a707,1,1,1,1,1,0
inc_8b5402edbbf77cad,1,1,1,1,1,0
inc_4238729aa8437c05,1,1,1,1,1,0
inc_2e33c3120cc087dd,1,1,1,1,1,0
inc_a70bfc279b5e8bd8,2,2,2,1,2,0
inc_d755447fe49f98db,1,1,1,1,1,0
inc_797e94e26d6ee3b8,1,1,1,1,1,0
inc_893bf21448f99fa1,1,1,1,1,1,0
inc_ed1c0987c0d44187,1,1,1,1,1,0
inc_a3b3f6e096c88ed2,1,1,1,1,1,0
inc_ff730bd27e8414b6,1,1,1,1,1,0
inc_6bc2aaee2ac0cec0,1,1,1,1,1,0
inc_43a0b61b5e699a32,1,1,1,1,1,0
inc_174f491a4f42bac9,2,2,2,1,2,0
inc_f25451a47082b72d,1,1,1,1,1,0
inc_c532444311d4a726,1,1,1,1,1,0
inc_514f38dd11626380,1,1,1,1,1,0
inc_7f20a59f0f2acbd1,1,1,1,1,1,0
inc_0db8af5c4f24a7d7,1,1,1,1,1,0
inc_c18e5ac4945b94ef,1,1,1,1,1,0
inc_5a5dd2f97186f35c,1,1,1,1,1,0
inc_76cd31766374e3f3,1,1,1,1,1,0
inc_30536498b387f3b4,1,1,1,1,1,0
inc_5613ff235f5c5b92,1,1,1,1,1,0
inc_119578bc9ef08f46,1,1,1,1,1,0
inc_4d0ba6d11e82c075,1,1,1,1,1,0
inc_7f1a9841e031f3ec,1,1,1,1,1,0
inc_21c5fe8bf69115f6,1,1,1,1,1,0
inc_2794419f4fe6ad3d,1,1,1,1,1,0
inc_8beb3740fb83a7ec,1,1,1,1,1,0
inc_ea449a8deaeedb50,1,1,1,1,1,0
inc_f69d5249e11fc73a,1,1,1,1,1,0
inc_c613b89047bb9ed0,1,1,1,1,1,0
inc_54f9c12913c835e4,1,1,1,1,1,0
inc_b80668a17a445118,1,1,1,1,1,0
inc_a5c75eb5447661e6,1,1,1,1,1,0
inc_9f16088679106725,1,1,1,1,1,0
inc_135b0ce9b37c26cc,1,1,1,1,1,0
inc_f4e85bd72023b0e3,1,1,1,1,1,0
inc_563668c88daabc23,1,1,1,1,1,0
inc_82e3dfef6891a83e,1,1,1,1,1,0
inc_6234a4d4ecff99dc,1,1,1,1,1,0
inc_e34c9b64056f9976,3,3,3,1,3,0
inc_76566e6009a76cab,1,1,1,1,1,0
inc_88e57b92d8bffabd,1,1,1,1,1,0
inc_6867acc1131ed8ab,1,1,1,1,1,0
inc_84812748e3a68177,1,1,1,1,1,0
inc_7322ad5e7148ee4c,1,1,1,1,1,0
inc_1fc495ce771b6a96,1,1,1,1,1,0
inc_15e094f71c40deff,1,1,1,1,1,0
inc_67513164bd67f1f2,2,2,2,1,2,0
inc_0f0efb66762c8f04,1,1,1,1,1,0
inc_d192329a044ab226,1,1,1,1,1,0
inc_d8a572becdb97020,1,1,1,1,1,0
inc_4fa65c00f7185d20,1,1,1,1,1,0
inc_c78ccc5dd386a6af,1,1,1,1,1,0
inc_e77ad766a82e0578,1,1,1,1,1,0
inc_709d9179b431a1ee,1,1,1,1,1,0
